category,text
entertainment,spark heads world booker list dame muriel spark is among three british authors who have made the shortlist for the inaugural international booker prize.  doris lessing and ian mcewan have also been nominated. mcewan and margaret atwood are the only nominees to have previously won the main booker prize. the new £60 000 award is open to writers of all nationalities who write in english or are widely translated. the prize commends an author for their body of work instead of one book.  gabriel garcia marquez  saul bellow  milan kundera and john updike also feature on the 18-strong list of world literary figures.  but other past winners of the regular booker prize  such as salman rushdie  jm coetzee and kazuo ishiguro have failed to make the shortlist. the prize  which will be awarded in london in june  will be given once every two years. it will reward an author - who must be living - for  continued creativity  development and overall contribution to fiction on the world stage . an author can only win once. the international award was started in response to criticisms that the booker prize is only open to british and commonwealth authors.    margaret atwood (canada) saul bellow (canada) gabriel garcia marquez (colombia) gunter grass (germany) ismail kadare (albania) milan kundera (czech republic) stanislaw lem (poland) doris lessing (uk) ian mcewan (uk) naguib mahfouz (egypt) tomas eloy martinez (argentina) kenzaburo oe (japan) cynthia ozick (us) philip roth (us) muriel spark (uk) antonio tabucchi (italy) john updike (us) abraham b yehoshua (israel)
politics,brown hits back in blair rift row gordon brown has criticised a union leader who said conflict between himself and tony blair was harming the workings of government.  jonathan baume  of the top civil servants  union  spoke of  competing agendas  between mr brown and mr blair. but the chancellor said mr baume was never at meetings between himself and the prime minister so could not judge. he said the union leader was trying to block civil service reform which threatened his members  jobs. it suited the purpose of mr baume s union  the first division association  to suggest there were two agendas battling against each other because the union was trying to resist the planned reforms  mr brown told bbc radio 4 s today programme.  under the plans  unveiled in the gershon report  some 84 000 civil servants jobs will be axed or changed and the savings ploughed back into frontline services. mr brown said:  to be honest i don t think you can rely on his [mr baume s] judgement on this matter when it comes to the decisions that the government are making.  mr blair and i are making exactly the same decisions on civil service reforms. we are determined to go on with the gershon reforms.  he also said that as mr baume was never present at meetings between himself and the prime minister  he was not in a position to judge. on wednesday  ahead of the chancellor s pre-budget report  mr baume told bbc news there were sometimes  conflicting and competing agendas for government  between number 10 and the treasury.  what the chancellor wanted was  not by any means what alan milburn and the prime minister want to see   mr baume said.  government departments get their money from the treasury on the basis of public service agreements they sign up to  but at the same time the prime minister also has an agenda and that s not necessarily the same as the treasury s and the prime minister is of course a very powerful figure in any government.  he also sends instructions and messages and directions to departments about how he would like each secretary of state and each department to implement a policy agenda.  the problem is that on many occasions these two don t add up and individual cabinet ministers as well as departments have to make sense of this battle.  number 10 said ministers were interested in governing and not a  soap opera  about mr blair and mr brown. tory shadow chancellor oliver letwin said:  the battle royal that the top civil servants are now reporting on between the chancellor and tony blair is preventing them both from getting on with the business of getting taxpayers value for money.
entertainment,singer s film to show at festival a documentary which takes a candid look at the life of chart-topping singer george michael will be shown at this year s berlin film festival.  a different story will screen in the panorama section of the festival  which runs from 10-20 february. it features the singer talking about both his career and his personal life  from his days in wham! through to more recent events. michael will attend the festival to introduce the screening on 16 february. director southan morris and executive producer andy stephens will also attend the festival.  the 93 minute film will see michael discussing his early days in wham! along with his later career  including his legal battles with record label sony and his stance against the iraq war and american politics. it will also touch upon his turbulent personal life  including his arrest in a beverly hills park toilet in 1998 for  lewd behaviour   and the death of his boyfriend anselmo feleppa from aids. the film  which includes previously unseen footage of the singer also features contributions from michael s former wham! partner andrew ridgeley  as well as ex-wham! backing singers pepsi and shirlie. other contributors include sting  mariah carey  elton john  noel gallagher  geri halliwell and simon cowell. this year s festival will open with man to man  a historical epic starring joseph fiennes and kristin scott-thomas. it will be one of 21 films competing for the festival s top prize  the golden bear. other films in competition will include the life aquatic  a quirky comedy starring bill murray  and the biopic kinsey  which features liam neeson. the full programme will be announced on 1 february.
entertainment,shark tale dvd is us best-seller oscar-nominated animation shark tale has raked in $80m (£42.4m) in the first week of its us dvd release becoming the year s best-selling home video so far.  the tally for its dvd and video sales soared past the film s opening week us box office takings of $56m (£29.7m). shark tale is now the sixth-highest earning dvd for first week sales. the all-time first-week record is held by 1995 s lion king followed by shrek 2  finding nemo  the original shrek  and monster s inc.  shark tale  whose voice cast includes will smith  robert de niro  renee zellweger and martin scorsese  sold more than 6 million dvds and videos across the united states and canada. it becomes the highest first-week earner for february  outshining my big fat greek wedding which sold four million units in 2003. films which are expected to earn strong home video returns are usually timed for release in the busiest retail season which falls before christmas. the best-selling home video of last year was the dreamworks hit shrek 2  which took an estimated $458 m (£242.7m) in north america alone.
entertainment,us actor  found with gun residue  actor robert blake had gunshot residue on his hands and clothes the night his wife was shot dead  a court has heard.  but it may not have come from the shot that killed bonny lee bakley in 2001  mr blake s murder trial was told by criminalist steven dowell. mr dowell told a los angeles court the residue may have come from mr blake s revolver  his gun collection  his presence at the crime scene or police. the 71-year-old former star of us tv drama baretta has denied murder. mr blake said he found ms bakley  44  dead in a car after they left a restaurant.  he said he briefly returned to the restaurant to collect a gun he had left behind and discovered her body when he returned. the gun he collected was not the murder weapon. it could also have been picked up if he touched or leant on the car when he found the body  or from a police box in which his clothes were later stored. the box had come from an area where officers went after being on the firing range. but mr dowell also said the residue would have been present if mr blake fired a gun that night. witnesses have already told the trial mr blake  stood out as being quite nervous and agitated  at the restaurant before the murder. the actor  who won an emmy for playing a maverick detective in the 1970s tv cop drama baretta  could face life in prison if convicted.
politics,tories urge  change at the top  tory delegates are gathering for what is expected to be their last conference before the general election  declaring britain needs  a change at the top .  the party goes into its spring forum trying to highlight what it sees as a clear choice between it and labour. tory co-chairman liam fox has opened proceedings with a speech criticising tony blair s record in government. labour s rule has been characterised by  lost trust and failure to deliver   he told the brighton conference. he also attacked the government s  failure  to control immigration and asylum and criticised its record on the nhs  telling delegates labour cannot be trusted on education or crime. a tory government would sort out the  shambles  of immigration  put patients before statistics and bring discipline to schools  he said. dr fox also underlined tory promises to cut tax by £4bn.  bbc political correspondent shaun ley says opinion polls suggest the tories still lag some way behind labour on the issues of health  education and the economy. conservative leader michael howard  who had been due to welcome delegates to the conference on friday  will address them in a lunchtime speech. his welcome address had to be postponed after he stayed in london to lead the party s opposition to the prevention of terrorism bill in its lengthy progress through parliament. the bill was finally passed on friday evening  after more than 30 hours of debate. mr howard is likely to defend his party s handling of the bill  which was only passed after the conservatives accepted prime minister tony blair s promise that mps would be able to review it within a year.
entertainment,russian film wins bbc world prize russian drama the return (vozvrashchenie) has been named winner of the bbc four world cinema award.  the film tells the story of two adolescent boys who are subjected to a harsh regime when their strict father returns after a 10-year absence. directed by andrey zvyagintsev  the return previously won the 2003 golden lion award at the venice film festival. the prize was presented at an awards ceremony held in london on thursday and hosted by jonathan ross. the winner was chosen by a panel which included x files actress gillian anderson  critic roger clarke and touching the void director kevin mcdonald.  ross  who is the presenter of bbc one s film 2005  was also involved in the deliberations. a shortlist of six films from around the world had been drawn up from which the panel chose. other nominees included the motorcycle diaries  zatoichi and hero. a viewer poll saw director zhang yimou s martial arts epic hero emerge as the favourite with 32% of votes cast. tragedy struck the production of the return when one of the young stars  15-year-old vladimir girin  drowned in a lake where some of the film s scenes were set. the winner of the world cinema award last year was the french animated feature belleville rendezvous
tech,how to smash a home computer an executive who froze his broken hard disk thinking it would be fixed has topped a list of the weirdest computer mishaps.  although computer malfunctions remain the most common cause of file loss  data recovery experts say human behaviour still is to blame in many cases. they say that no matter how effective technology is at rescuing files  users should take more time to back-up and protect important files. the list of the top 10 global data disasters was compiled by recovery company ontrack.  careless - and preventable - mistakes that result in data loss range from reckless file maintenance practices to episodes of pure rage towards a computer. this last category includes the case of a man who became so mad with his malfunctioning laptop that he threw it in the lavatory and flushed a couple of times.  data can disappear as a result of natural disaster  system fault or computer virus  but human error  including  computer rage   seems to be a growing problem   said adrian palmer  managing director of ontrack data recovery.   nevertheless  victims soon calm down when they realise the damage they ve done and come to us with pleas for help to retrieve their valuable information.  a far more common situation is when a computer virus strikes and leads to precious files being corrupted or deleted entirely. mr palmer recalled the case of a couple who had hundreds of pictures of their baby s first three months on their computer  but managed to reformat the hard drive and erase all the precious memories.  data can be recovered from computers  servers and even memory cards used in digital devices in most cases   said mr palmer.  however  individuals and companies can avoid the hassle and stress this can cause by backing up data on a regular basis.
politics,blair says uk tsunami aid to soar tony blair has predicted the british government will eventually give  hundreds of millions  of pounds in aid to countries hit by the tsunami.  the prime minister was speaking publicly for the first time since returning from his holiday in egypt. mr blair insisted he had been  intimately involved  in  all decisions at all times  despite being abroad. he was speaking before the uk joins a three-minute silence at noon across the eu for the estimated 150 000 dead.  the foreign office says 41 britons are now confirmed to have died in the tsunami which struck south asia on boxing day  with 158 others missing. asked about criticism that he did not cut short his holiday  mr blair told bbc radio 4 s today programme:  i don t think this is a situation in which the british people need me to articulate what they feel.   i think they feel - as we all do - shock  horror  and absolute solidarity with those people who have lost their lives.  the important thing was action and not words  he said  adding that of the £50m given by the government so far only  six or seven million  had been spent. it would become easier in the coming weeks to assess just how much money would have to be put in.  my estimate is we will need to spend from government several hundred million pounds. so we will far and away more than match the generosity of the british people   he said. asked whether he had not returned to work immediately because he was under doctors orders to rest  mr blair said there was also a story he had been away for plastic surgery.  as you can see unfortunately i am still looking the same as i always did   he joked.  the prime minister took personal charge of the uk s response on tuesday  chairing a meeting of the emergency committee of ministers that has convened daily since boxing day. he also spoke on the telephone to us president george bush  and the presidents of sri lanka and indonesia. chancellor gordon brown earlier backed a plan to freeze the foreign debts of all the affected nations.  mr brown  who was not at the downing street meeting  says he has been in  intensive talks  with other g8 finance ministers. germany proposed a freeze last week and canada has begun its own moratorium. the chancellor said the plan would initially save the most affected countries about $3bn (£1.58bn) in repayments. tory leader michael howard also backed the proposals but said ministers had been  playing catch-up  with public donations.  foreign secretary jack straw is to visit thailand and indonesia this week. during his trip  mr straw will represent the g8 at the international conference called in jakarta  indonesia on thursday. on friday  he will visit the thai beach resort of phuket  where british families are still searching for relatives.  international development secretary hilary benn will also visit aceh in indonesia  as well as sri lanka. the british public has now pledged £76m in aid with emergency supplies from the british government starting to arrive in the region on three raf flights in a joint operation with scandinavian countries. two ships - the royal fleet auxiliary ship diligence and frigate hms chatham - have arrived in the disaster area. a second royal fleet auxiliary vessel  the bayleaf  is also being sent. uk charities have also begun chartering planes to deliver aid.    - a bbc news special: asia remembered  including the three-minutes silence  will be shown on bbc one and bbc news 24 from 1130 to 1215 gmt on wednesday.
tech,movie body hits peer-to-peer nets the movie industry has struck out at file-sharing networks with another round of lawsuits in the us.  the motion picture association of america (mpaa) also said it had succeeded in getting a network called lokitorrent closed down. it is the latest network which uses the peer-to-peer system called bittorrent to be hit by the mpaa. the mpaa began its legal campaign against operators of similar networks across four continents in december. a dallas court agreed that hollywood lawyers would be allowed access to lokitorrent s server records which could let them single out those who were sharing files illegally. in october 2004  the site had provided links to more than 30 000 files. the action came after the operators of lokitorrent agreed a settlement with the mpaa. a stark message has appeared on the site from the mpaa warning  you can click  but you can t hide . in bittorrent systems  server sites do not host the files being shared. they host links  called  trackers  that direct people to others that have it instead.  as well as filing an unspecified number of file suits across the us  the mpaa said it had given operators that host edonkey servers  take down  notices. hollywood studios are aggressively clamping down on file-sharers who it says infringe copyright laws by copying films and tv programmes then share the files online. but it is now targeting the operators of bittorrent networks themselves. it has filed 100 lawsuits against operators of bittorrent server sites since december. the strategy of hitting those who run the servers which link to copyrighted material is intended to stunt file-sharers  ability to swap content using bittorrent systems. the film industry says the black market for illegally copied videos and dvds already costs them billions every year and it is worried that illegal file-sharing is adding to their losses. in december  the legal action claimed its most high-profile victim. the popular suprnova.org website was forced to close  and others like phoenix torrent followed soon after.
tech,robots learn  robotiquette  rules robots are learning lessons on  robotiquette  - how to behave socially - so they can mix better with humans.  by playing games  like pass-the-parcel  a university of hertfordshire team is finding out how future robot companions should react in social situations. the study s findings will eventually help humans develop a code of social behaviour in human-robot interaction. the work is part of the european cogniron robotics project  and was on show at london s science museum.   we are assuming a situation in which a useful human companion robot already exists   said professor kerstin dautenhahn  project leader at hertfordshire.  our mission is to look at how such a robot should be programmed to respect personal spaces of humans.   the research also focuses on human perception of robots  including how they should look  and how a robot can learn new skills by imitating a human demonstrator.  without such studies  you will build robots which might not respect the fact that humans are individuals  have preferences and come from different cultural backgrounds   professor dautenhahn told bbc news online.  and i want robots to treat humans as human beings  and not like other robots   she added.  in most situations  a companion robot will eventually have to deal not only with one person  but also with groups of people. to find out how they would react  the hertfordshire cogniron team taught one robot to play pass-the-parcel with children.  showing off its skills at the science museum  the unnamed robot had to select  approach  and ask different children to pick up a parcel with a gift  moving it arm as a pointer and its camera as an eye. it even used speech to give instructions and play music. however  according to researchers  it will still take many years to build a robot which would make full use of the  robotiquette  for human interaction.  if you think of a robot as a companion for the human being  you can think of 20 years into the future   concluded professor dautenhahn.  it might take even longer because it is very  very hard to develop such a robot.   you can hear more on this story on the bbc world service s go digital programme.
sport,hearts of oak 3-2 cotonsport hearts of oak set up an all ghanaian confederation cup final with a 3-2 win over cameroon s cotonsport garoua in accra on sunday.  the win for hearts means they will play asante kotoko in the two-leg final  after the kumasi team qualified from group a on saturday. in the other group b game cameroon s  beat  of south africa 3-2 in douala  neither side could have qualified for the final. hearts of oak started the game needing a win to qualify for the final while cotonsport only needed to avoid defeat to go through. louis agyemang scored the first two goals for hearts either side of half time before ben don bortey scored the third. hearts looked set for a comfortable win but cotonsport staged a late fight back scoring twice late on. first of all boukar makaji scored in the 89th minute and then 3 minutes into injury time at the end of the game andre nzame iii was on target. but it was too little too late for the cameroonians and hearts held on to win the game and a place in the final. the first leg of the final will be played in accra on the weekend of 27-28 november and the second leg two weeks later on the 11 december in kumasi. in the other group b game cameroon s sable batie took the lead in the 35th minute through kemadjou before santos equalised on the hour mark thanks to thokozani xaba . bernard ngom put sable ahead just five minutes later and then ernest nfor settled the game on 68 minutes. ruben cloete scored the south african sides consolation with just three minutes left on the clock.
sport,isinbayeva heads for birmingham olympic pole vault champion yelena isinbayeva has confirmed she will take part in the 2005 norwich union grand prix in birmingham on 18 february.   everybody knows how much i enjoy competing in britain. i always seem to break records there   said isinbayeva.  as olympic champion there will be more attention on me this year  but hopefully i can respond with another record in birmingham.  kelly holmes and carolina kluft are among other athens winners competing. the organisers are hoping that isinbayeva s main rival  fellow russian svetlana feofanova  will also take part in the event. the pair had a thrilling battle in athens which ended with isinbayeva finally jumping a world record of 4.91m to claim the gold medal. isinbayeva  22  has set 10 world records in the pole vault  three of which have come on british soil.
